correct_word	non_word	len	space_or_hyphen	levenshtein	real_word_error
Nevada	nevade	6	False	2	False
Presbyterian	presbyterian	12	False	1	False
RSX	rsx	3	False	3	False
Stephen	Steffen	7	False	2	False
Susan	susan	5	False	1	False
ability	abilitey	8	False	1	False
about	abouy	5	False	1	False
absorption	absorbtion	10	False	1	False
accidentally	accidently	10	False	2	False
accommodate	accomodate	10	False	1	False
accommodate	acommadate	10	False	2	False
accord	acord	5	False	1	False
acquaintance	aquantance	10	False	2	False
acquire	equire	6	False	2	False
adultery	adultry	7	False	1	False
aggressive	aggresive	9	False	1	False
alcohol	alchohol	8	False	1	False
alcoholic	alchoholic	10	False	1	False
alive	allieve	7	False	2	False
all right	alright	7	True	2	True
amateur	amature	7	False	2	False
ambivalent	ambivilant	10	False	2	False
amorphous	amourfous	9	False	3	False
amplification	amification	11	False	2	False
anatomy	anonomy	7	False	2	False
anatomy	anotomy	7	False	1	False
announce	annuncio	8	False	3	False
announcement	annonsment	10	False	3	False
anoint	annoint	7	False	1	False
anonymous	anynomous	9	False	2	False
appreciate	appresteate	11	False	3	False
appreciated	appreceiated	12	False	1	False
archetype	archeype	8	False	1	False
architecture	aratictature	12	False	5	False
architecture	aricticure	10	False	5	False
arctic	artic	5	False	1	False
asterisk	asterick	8	False	1	False
asymmetric	asymetric	9	False	1	False
asymptote	asentote	8	False	3	False
at	ast	3	False	1	False
attentively	atentively	10	False	1	False
automatically	autoamlly	9	False	5	False
bankrupt	bankrot	7	False	2	False
basically	basicly	7	False	2	False
battalion	batallion	9	False	2	False
beginning	beggining	9	False	2	False
beginning	beging	6	False	3	False
beginning	bigginging	10	False	3	False
behavior	behaviour	9	False	1	True
behaviour	behavior	8	False	1	True
believe	beleive	7	False	2	False
believe	belive	6	False	1	False
benefits	benidifs	8	False	3	False
better	metter	6	False	1	False
bleat	blait	5	False	2	False
boycott	boygot	6	False	2	False
broccoli	brocolli	8	False	2	False
browse	bbrose	6	False	2	False
buoyant	bouyant	7	False	2	False
bureau	beauro	6	False	4	False
