correct_word	non_word	len	space_or_hyphen	levenshtein	real_word_error
Albert	Ab	2	False	4	False
America	Ameraca	7	False	1	False
America	Amercia	7	False	2	False
American	Ameracan	8	False	1	False
April	Apirl	5	False	2	False
Austrian	Austrain	8	False	2	False
Badcock's	badcock	7	False	3	False
Bechuanaland	bechuarnia_land	15	False	4	False
Botswana	botuania	8	False	4	False
Cambridge	Cambrige	8	False	1	False
Canada	Canda	5	False	1	False
Chautauqua	Chactuquoe	10	False	4	False
Chautauqua	Chalktwa	8	False	6	False
Chautauqua	Chaqua	6	False	4	False
Chautauqua	Chata	5	False	5	False
Chautauqua	Chatacqua	9	False	2	False
Chautauqua	Chatacque	9	False	3	False
Chautauqua	Chatalkwa	9	False	4	False
Chautauqua	Chataqua	8	False	2	False
Chautauqua	Chataque	8	False	3	False
Chautauqua	Chataukowa	10	False	4	False
Chautauqua	Chataukwa	9	False	3	False
Chautauqua	Chatauwkwa	10	False	4	False
Chautauqua	Chateau	7	False	5	False
Chautauqua	Chatocqua	9	False	3	False
Chautauqua	Chatogua	8	False	4	False
Chautauqua	Chatoukouv	10	False	5	False
Chautauqua	Chattakqua	10	False	2	False
Chautauqua	Chatuaca	8	False	4	False
Chautauqua	Chatwakwa	9	False	5	False
Chautauqua	Chauetouequa	12	False	3	False
Chautauqua	Chauta	6	False	4	False
Chautauqua	Chautakye	9	False	4	False
Chautauqua	Chautaqua	9	False	1	False
Chautauqua	Chautauchua	11	False	2	False
Chautauqua	Chautiqua	9	False	2	False
Chautauqua	Chautogqwa	10	False	3	False
Chautauqua	Chautqua	8	False	2	False
Chautauqua	Chawtakque	10	False	3	False
Chautauqua	Chawtawque	10	False	3	False
Chautauqua	Cheautauqua	11	False	1	False
Chautauqua	Chetdacowa	10	False	6	False
Chautauqua	Chetoquoi	9	False	6	False
Chautauqua	Chicahwa	8	False	6	False
Chautauqua	Chictocua	9	False	5	False
Chautauqua	Chicugta	8	False	6	False
Chautauqua	Chistupa	8	False	5	False
Chautauqua	Chitacque	9	False	4	False
Chautauqua	Chitalka	8	False	5	False
Chautauqua	Chitalkwa	9	False	5	False
Chautauqua	Chitaqua	8	False	3	False
Chautauqua	Chitauqua	9	False	2	False
Chautauqua	Chitoqua	8	False	4	False
Chautauqua	Chittiqua	9	False	4	False
Chautauqua	Chochatta	9	False	6	False
Chautauqua	Chottago	8	False	6	False
Chautauqua	Chouativa	9	False	5	False
Chautauqua	Chtacu	6	False	5	False
Chautauqua	Chuatackqua	11	False	4	False
Chautauqua	Chuatuaque	10	False	5	False
Chautauqua	Chuatuaton	10	False	7	False
Chautauqua	Chutaciqwa	10	False	4	False
Chautauqua	Chutouko	8	False	5	False
Chautauqua	Cuhtawa	7	False	6	False
Chautauqua	Quatauqua	9	False	3	False
Chautauqua	Schtaka	7	False	7	False
Chautauqua	Shatacua	8	False	4	False
Chautauqua	Shatakiwa	9	False	5	False
Chautauqua	Shataqua	8	False	3	False
Chautauqua	Shautalkwa	10	False	4	False
Chautauqua	Shawtachwa	10	False	5	False
Chautauqua	Shawtapwa	9	False	5	False
Chautauqua	Shawtowa	8	False	6	False
Chautauqua	Sheto	5	False	8	False
Chautauqua	Shitaka	7	False	6	False
Chautauqua	Showtalkaw	10	False	7	False
Chautauqua	Showtalkwa	10	False	6	False
Chautauqua	Showtucwa	9	False	6	False
Chautauqua	catauqua	8	False	3	False
Chautauqua	chacactur	9	False	6	False
Chautauqua	chatacuia	9	False	5	False
Chautauqua	chataqua	8	False	3	False
Chautauqua	chataque	8	False	4	False
Chautauqua	chatauchuia	11	False	5	False
Chautauqua	chatauqua	9	False	2	False
Chautauqua	chautaucua	10	False	2	False
Chautauqua	chautauqua	10	False	1	False
Chautauqua	chetickway	10	False	8	False
Chautauqua	chictique	9	False	6	False
Chautauqua	chitacwa	8	False	6	False
Chautauqua	chitiquea	9	False	6	False
Chautauqua	chituaquea	10	False	6	False
Chautauqua	chtoawa	7	False	7	False
Chautauqua	sechectaquka	12	False	7	False
Chautauqua	shatakwa	8	False	5	False
Chautauqua	shtalkwa	8	False	6	False
Chautauqua	sutalkway	9	False	7	False
Christ	Crist	5	False	1	False
Christian	Christain	9	False	2	False
Christmas	Chrismas	8	False	1	False
Christmas	Christ_mas	10	False	1	False
Christmas	Christmis	9	False	1	False
Christmas	Cristmus	8	False	2	False
Christmas	cristmas	8	False	2	False
Cinderella	Cinderrella	11	False	1	False
Dec	des.	4	False	3	False
December	Decmber	7	False	1	False
December	Desember	8	False	1	False
Dr	Doc	3	False	2	False
Dracula's	draculla's	10	False	2	False
Dunstan's	Dunstan	7	False	2	False
Easter	Ester	5	False	1	True
Easter	ester	5	False	2	True
Eastwood	Estwood	7	False	1	False
English	ingish	6	False	2	False
English	inglish	7	False	1	False
Feb	Fab	3	False	1	False
February	Febuary	7	False	1	False
February	Feburary	8	False	2	False
February	feburay	7	False	4	False
French	Franch	6	False	1	False
French	feirne	6	False	6	False
French	fench	5	False	2	False
French	freach	6	False	2	False
Friday	Firday	6	False	2	False
Hallowe'en	hallowen	8	False	3	False
Hitler	Hitlar	6	False	1	False
I	a	1	False	1	True
I	and	3	False	3	True
I	are	3	False	3	True
I	has	3	False	3	True
I	he	2	False	2	True
I	i	1	False	1	True
I	if	2	False	2	True
I	is	2	False	2	True
I	it	2	False	2	True
I	iy	2	False	2	False
I	ld	2	False	2	False
I	we	2	False	2	True
I'd	I'de	4	False	1	False
I'd	I'ed	4	False	1	False
I'd	I'ld	4	False	1	False
I'll	Ile	3	False	2	False
I'll	Ill	3	False	1	True
I'm	I'me	4	False	1	False
I'm	I'n	3	False	1	False
I'm	im	2	False	2	False
I've	I'v	3	False	1	False
I've	Iev	3	False	2	False
Indians	Indian's	8	False	1	True
Ireland	Irland	6	False	1	False
Irish	Iresh	5	False	1	False
January	Januery	7	False	1	False
July	Jaly	4	False	1	False
June	Jun	3	False	1	True
Leicester	Lester	6	False	3	True
Los Angeles	Las_Angles	10	True	3	False
Luke's	Luks	4	False	2	False
Mayfield	Mayfeild	8	False	2	False
Mediterranean	Meditterranean	14	False	1	False
Miss	mis	3	False	2	False
Monday	Munday	6	False	1	False
Mr	Mis	3	False	2	False
Mr	Mrs	3	False	1	True
Mrs	Miss	4	False	2	True
Mrs	Mixss	5	False	3	False
Mrs	Mr's	4	False	1	True
Mrs	Mrss	4	False	1	False
October	Octber	6	False	1	False
Pekinese	pikaness	8	False	4	False
Philip's	perllips	8	False	5	False
Pyrenean	Pyrannean	9	False	2	False
Rolls	rowles	6	False	3	False
Samaritan	Samariton	9	False	1	False
Saturday	Saterday	8	False	1	False
Saturday	Satuarday	9	False	1	False
Scots	Scotts	6	False	1	False
Sept	Sep	3	False	1	False
September	Septenber	9	False	1	False
September	Septmber	8	False	1	False
Sheba	shebre	6	False	3	False
Spanish	Spanich	7	False	1	False
Sunday	Sanday	6	False	1	False
Swedish	sweedish	8	False	2	False
Thames	Thems	5	False	2	False
Tuesday	Teusday	7	False	2	False
Tuesday	Tusday	6	False	1	False
