correct_word	non_word	len	space_or_hyphen	levenshtein	real_word_error
Apennines	Apenines	8	False	1	False
Apennines	Appenines	9	False	2	False
Athenian	Athenean	8	False	1	False
Athenians	Atheneans	9	False	1	False
Bernoulli	Bernouilli	10	False	1	False
Blitzkrieg	Blitzkreig	10	False	2	False
Brazilian	Brasillian	10	False	2	False
Britain	Britian	7	False	2	False
British	Brittish	8	False	1	False
Caesar	Ceasar	6	False	2	False
Cambridge	Cambrige	8	False	1	False
Caracas	carcas	6	False	2	False
Caribbean	Carribean	9	False	2	False
Carthaginian	Carthagian	10	False	2	False
Catalina	Cataline	8	False	1	False
Catiline	Cataline	8	False	1	False
Celsius	Celcius	7	False	1	False
Champagne	Champange	9	False	2	False
Connecticut	Conneticut	10	False	1	False
Cypriot	Cyprian	7	False	2	True
Ellis	eles	4	False	3	False
English	Enlish	6	False	1	False
European	Europian	8	False	1	False
European	Eurpean	7	False	1	False
European	Eurpoean	8	False	2	False
Europeans	Europians	9	False	1	False
February	febuary	7	False	2	False
Flemish	Flemmish	8	False	1	False
Franciscan	Fransiscan	10	False	1	False
Franciscans	Fransiscans	11	False	1	False
Gael	gae	3	False	2	False
Galatians	Galations	9	False	1	False
Gandhi	Ghandi	6	False	2	False
Gauguin	gogin	5	False	4	False
Guatemala	Guatamala	9	False	1	False
Guatemalan	Guatamalan	10	False	1	False
Guinness	Guiness	7	False	1	False
Israelis	Israelies	9	False	1	False
Ithaca	Ihaca	5	False	1	False
Jacques	Jaques	6	False	1	False
Japanese	Japanes	7	False	1	False
Joseph	Jospeh	6	False	2	False
Judaism	Juadaism	8	False	1	False
Judaism	Juadism	7	False	2	False
Libya	Lybia	5	False	2	False
Malcolm	Malcom	6	False	1	False
Maltese	maltesian	9	False	4	False
Mara Liasson	liason	6	True	7	False
Massachusetts	Massachussets	13	False	2	False
Massachusetts	Massachussetts	14	False	1	False
Mediterranean	Mediteranean	12	False	1	False
Michigan	Michagan	8	False	1	False
Miranda	meranda	7	False	2	False
Mississippi	Missisipi	9	False	2	False
Mississippi	Missisippi	10	False	1	False
Missouri	Misouri	7	False	1	False
Muslim	Mohammedan	10	False	8	True
Muslim	Muhammadan	10	False	7	True
Muslims	Mohammedans	11	False	8	True
Nazareth	Nazereth	8	False	1	False
New Yorker	Newyorker	9	True	2	False
Newfoundland	Foundland	9	False	4	False
Nuremberg	Nuremburg	9	False	1	False
Orignal	orginal	7	False	3	False
Palestinian	Palistian	9	False	3	False
Palestinian	Palistinian	11	False	1	False
Philippine	Phillipine	10	False	2	False
Philippines	Philipines	10	False	1	False
Philippines	Phillipines	11	False	2	False
Philippines	Phillippines	12	False	1	False
Portuguese	Portugese	9	False	1	False
Puccini	Pucini	6	False	1	False
Rockefeller	Rockerfeller	12	False	1	False
Russian	Russion	7	False	1	False
Russian	russina	7	False	3	False
Saturday	Saterday	8	False	1	False
Saturdays	Saterdays	9	False	1	False
Sistine	Sixtin	6	False	2	False
Spanish	spainish	8	False	2	False
Tim	tiem	4	False	2	False
Ukrainian	Ukranian	8	False	1	False
Valletta	Valetta	7	False	1	False
Wednesday	wendsay	7	False	4	False
Wednesday	wensday	7	False	3	False
Zionist	Sionist	7	False	1	False
Zionists	Sionists	8	False	1	False
a lot	alot	4	True	1	False
abandon	abondon	7	False	1	False
abandoned	abondoned	9	False	1	False
abandoning	abondoning	10	False	1	False
abandons	abondons	8	False	1	False
aberration	aberation	9	False	1	False
about	baout	5	False	2	False
about	boaut	5	False	2	False
absence	absense	7	False	1	False
absorbed	asorbed	7	False	1	False
absorption	absorbsion	10	False	2	False
absorption	absorbtion	10	False	1	False
abuts	abutts	6	False	1	False
acceptable	acceptible	10	False	1	False
accessible	accessable	10	False	1	False
accession	accension	9	False	1	False
accidentally	accidently	10	False	2	False
acclimatization	acclimitization	15	False	1	False
accommodate	accomadate	10	False	2	False
accommodate	accomodate	10	False	1	False
accommodated	accomadated	11	False	2	False
accommodated	accomodated	11	False	1	False
accommodates	accomadates	11	False	2	False
accommodates	accomodates	11	False	1	False
accommodating	accomadating	12	False	2	False
accommodating	accomodating	12	False	1	False
accommodation	accomadation	12	False	2	False
accommodation	accomodation	12	False	1	False
accommodations	accomodations	13	False	1	False
accompanied	accompanyed	11	False	1	False
accomplish	acomplish	9	False	1	False
accomplished	acomplished	11	False	1	False
accomplishment	acomplishment	13	False	1	False
accomplishments	acomplishments	14	False	1	False
according	acording	8	False	1	False
accuracy	acuracy	7	False	1	False
accused	accussed	8	False	1	False
accustom	acustom	7	False	1	False
accustomed	acustommed	10	False	2	False
achieve	acheive	7	False	2	False
achieve	achive	6	False	1	False
achieved	acheived	8	False	2	False
achieved	achived	7	False	1	False
achievement	acheivement	11	False	2	False
achievement	acheivment	10	False	3	False
achievement	achievment	10	False	1	False
achievements	acheivements	12	False	2	False
achievements	acheivments	11	False	3	False
achievements	achievments	11	False	1	False
achieves	acheives	8	False	2	False
achieving	acheiving	9	False	2	False
acquaintance	acquaintence	12	False	1	False
acquaintance	acquiantence	12	False	3	False
acquaintance	aquaintance	11	False	1	False
acquaintance	aquiantance	11	False	3	False
acquaintances	acquaintences	13	False	1	False
acquaintances	acquiantences	13	False	3	False
acquainted	aquainted	9	False	1	False
acquire	adquire	7	False	1	False
acquire	aquire	6	False	1	False
acquired	adquired	8	False	1	False
acquired	aquired	7	False	1	False
acquires	adquires	8	False	1	False
acquiring	adquiring	9	False	1	False
acquiring	aquiring	8	False	1	False
acquisition	aquisition	10	False	1	False
acquitted	acquited	8	False	1	False
acquitted	aquitted	8	False	1	False
across	accross	7	False	1	False
actually	actualy	7	False	1	False
adaptation	adaption	8	False	2	True
adaptations	adaptions	9	False	2	True
adders	addres	6	False	2	False
additionally	additinally	11	False	1	False
address	addres	6	False	1	False
address	adres	5	False	2	False
address	adress	6	False	1	False
addressable	addresable	10	False	1	False
addressable	adresable	9	False	2	False
addressable	adressable	10	False	1	False
addressing	addresing	9	False	1	False
addressing	adresing	8	False	2	False
addressing	adressing	9	False	1	False
adequate	adecuate	8	False	1	False
adhering	adhearing	9	False	1	False
administrate	adminstrate	11	False	1	False
administration	adminstration	13	False	1	False
administrative	adminstrative	13	False	1	False
admissibility	admissability	13	False	1	False
admissible	admissable	10	False	1	False
admission	addmission	10	False	1	False
adolescent	adolecent	9	False	1	False
adopt	addopt	6	False	1	False
adopted	addopted	8	False	1	False
adoptive	addoptive	9	False	1	False
advertisement	advertisment	12	False	1	False
advertisements	advertisments	13	False	1	False
advice	adviced	7	False	1	False
advised	adviced	7	False	1	False
aerial	aeriel	6	False	1	False
aerials	aeriels	7	False	1	False
afford	affort	6	False	1	False
afford	efford	6	False	1	False
affords	effords	7	False	1	False
aficionado	afficionado	11	False	1	False
aficionados	afficionados	12	False	1	False
again	agian	5	False	2	False
again	agina	5	False	2	False
aggravate	agravate	8	False	1	False
aggregate	agregate	8	False	1	False
aggregates	agregates	9	False	1	False
aggression	agression	9	False	1	False
aggressive	agressive	9	False	1	False
aggressively	agressively	11	False	1	False
