non_word	real_word	jaro_winkler	levenshtein_distance	corpus	aspell_rank	aspell_n_candidates	edit_distance_rank	edit_distance_n_candidates
nevade	Nevada	0.7777777777777777	2	aspell	15	26	-1	1
presbyterian	Presbyterian	0.9444444444444443	1	aspell	0	6	-1	1
rsx	RSX	0.0	3	aspell	-1	6	-1	1
Steffen	Stephen	0.8666666666666668	2	aspell	3	11	2	5
susan	Susan	0.8666666666666667	1	aspell	1	22	-1	17
abilitey	ability	0.975	1	aspell	0	16	0	1
abouy	about	0.92	1	aspell	0	25	0	1
absorbtion	absorption	0.96	1	aspell	0	3	0	1
accidently	accidentally	0.9666666666666667	2	aspell	0	10	0	6
accomodate	accommodate	0.9818181818181818	1	aspell	0	3	0	1
acommadate	accommodate	0.8952188552188552	2	aspell	0	3	0	1
acord	accord	0.9555555555555556	1	aspell	0	17	0	3
aquantance	acquaintance	0.9500000000000001	2	aspell	0	7	0	1
equire	acquire	0.8492063492063492	2	aspell	9	15	-1	5
adultry	adultery	0.975	1	aspell	0	12	0	1
aggresive	aggressive	0.98	1	aspell	0	8	0	1
alchohol	alcohol	0.9375	1	aspell	0	5	0	1
alchoholic	alcoholic	0.9507407407407407	1	aspell	0	4	0	1
allieve	alive	0.8704761904761905	2	aspell	4	29	4	8
alright	all right	0.9407407407407408	2	aspell	-1	3	-1	1
amature	amateur	0.9714285714285714	2	aspell	0	10	-1	2
ambivilant	ambivalent	0.9377777777777778	2	aspell	0	6	0	1
amourfous	amorphous	0.8962962962962963	3	aspell	3	4	-1	1
amification	amplification	0.958974358974359	2	aspell	-1	5	-1	1
anonomy	anatomy	0.8476190476190477	2	aspell	4	9	1	6
anotomy	anatomy	0.8793650793650793	1	aspell	1	12	0	1
annuncio	announce	0.8833333333333334	3	aspell	3	8	-1	1
annonsment	announcement	0.9077777777777777	3	aspell	0	5	-1	1
annoint	anoint	0.9174603174603175	1	aspell	0	28	0	1
anynomous	anonymous	0.9703703703703703	2	aspell	0	8	0	1
appresteate	appreciate	0.8804545454545455	3	aspell	-1	7	-1	1
appreceiated	appreciated	0.946969696969697	1	aspell	0	6	0	1
archeype	archetype	0.9777777777777777	1	aspell	0	28	0	1
aratictature	architecture	0.7777777777777778	5	aspell	0	7	-1	1
aricticure	architecture	0.8177777777777777	5	aspell	-1	8	-1	1
artic	arctic	0.9022222222222223	1	aspell	2	27	1	4
asterick	asterisk	0.95	1	aspell	0	22	0	1
asymetric	asymmetric	0.98	1	aspell	0	5	0	1
asentote	asymptote	0.8444444444444443	3	aspell	-1	17	-1	1
ast	at	0.611111111111111	1	aspell	26	49	24	27
atentively	attentively	0.9490909090909091	1	aspell	0	5	0	1
autoamlly	automatically	0.9162393162393162	5	aspell	-1	24	-1	1
bankrot	bankrupt	0.9214285714285715	2	aspell	2	8	2	3
basicly	basically	0.9555555555555556	2	aspell	0	20	0	8
batallion	battalion	0.9481481481481482	2	aspell	0	13	0	3
beggining	beginning	0.9189814814814814	2	aspell	1	22	1	6
beging	beginning	0.9333333333333333	3	aspell	-1	17	-1	4
bigginging	beginning	0.7576190476190476	3	aspell	5	16	-1	1
behaviour	behavior	0.9777777777777777	1	aspell	0	10	-1	1
behavior	behaviour	0.9777777777777777	1	aspell	-1	4	-1	1
beleive	believe	0.9666666666666667	2	aspell	0	16	0	1
belive	believe	0.9380952380952381	1	aspell	3	16	1	3
benidifs	benefits	0.8444444444444444	3	aspell	3	34	-1	1
metter	better	0.888888888888889	1	aspell	7	17	6	10
blait	bleat	0.8933333333333333	2	aspell	5	39	-1	4
boygot	boycott	0.8944444444444445	2	aspell	3	12	1	9
brocolli	broccoli	0.95	2	aspell	0	15	0	1
bbrose	browse	0.9	2	aspell	0	45	0	7
bouyant	buoyant	0.9571428571428572	2	aspell	0	17	0	1
beauro	bureau	0.78	4	aspell	24	50	-1	9
beaurocracy	bureaucracy	0.8854545454545454	4	aspell	0	9	-1	1
buracracy	bureaucracy	0.9575757575757576	2	aspell	0	15	0	1
burracracy	bureaucracy	0.9083164983164983	2	aspell	0	11	0	1
buch	bush	0.8666666666666667	1	aspell	5	14	3	7
buder	butter	0.8577777777777779	2	aspell	16	96	-1	3
budr	butter	0.8	3	aspell	-1	8	-1	4
budter	butter	0.9111111111111112	1	aspell	1	39	0	2
buton	button	0.9611111111111111	1	aspell	2	11	0	3
byby	by by	0.9466666666666665	1	aspell	0	54	-1	1
cauler	caller	0.9111111111111112	1	aspell	2	44	2	5
gamne	came	0.7833333333333333	2	aspell	29	38	-1	2
cravets	caveats	0.9142857142857143	2	aspell	8	39	-1	3
cemetary	cemetery	0.95	1	aspell	0	14	0	1
changeing	changing	0.9777777777777777	1	aspell	1	4	1	2
cheet	cheat	0.9066666666666667	1	aspell	5	13	5	7
cicle	circle	0.9555555555555556	1	aspell	0	16	0	4
circue	circle	0.9333333333333333	1	aspell	2	12	1	3
circumstaces	circumstances	0.9846153846153847	1	aspell	0	5	0	1
clob	club	0.8666666666666667	1	aspell	9	13	7	11
cocamena	cockamamie	0.8674999999999999	5	aspell	-1	15	-1	1
colleaque	colleague	0.9555555555555556	1	aspell	0	10	0	1
colloquilism	colloquialism	0.9846153846153847	1	aspell	0	3	0	1
coaln	colon	0.8933333333333333	2	aspell	4	55	-1	2
columne	column	0.9714285714285714	1	aspell	1	12	1	3
cumba	combo	0.76	2	aspell	17	33	-1	1
commerciasl	commercials	0.9818181818181818	2	aspell	0	4	1	2
comitmment	commitment	0.9766666666666667	2	aspell	0	5	0	1
comittmen	commitment	0.9248148148148148	3	aspell	0	5	-1	1
comittmend	commitment	0.9014814814814816	3	aspell	0	9	-1	1
commited	committed	0.9777777777777777	1	aspell	2	25	0	2
comitte	committee	0.9481481481481482	2	aspell	0	12	0	9
commitee	committee	0.9777777777777777	1	aspell	0	17	0	1
companys	companies	0.9305555555555555	2	aspell	2	6	-1	1
comiler	compiler	0.9708333333333333	1	aspell	0	13	0	1
compicated	complicated	0.9818181818181818	1	aspell	0	2	0	1
comupter	computer	0.9708333333333333	2	aspell	0	17	0	1
congradulations	congratulations	0.9447619047619048	1	aspell	0	3	0	1
concensus	consensus	0.8898148148148148	1	aspell	5	18	0	1
consident	consistent	0.9127777777777778	2	aspell	2	6	-1	1
