error	correct_word	dsug	target	correct_word_in_dict	correct_word_in_dsuggestions	corwd_dist	corwd_se	corwd_me	error_char_count	error_consonant_count	error_vowel_count	error_capital_count	dsug_char_count	dsug_consonant_count	dsug_vowel_count	dsug_capital_count	dsug_contains_space	dsug_se	dsug_me	dsug_dist	dsug_lm_log_prob
nevade	Nevada	evade	0	True	True	2	True	True	6	3	3	0	5	2	3	0	False	False	False	1	0.0
nevade	Nevada	n evade	0	True	True	2	True	True	6	3	3	0	7	3	3	0	True	True	True	1	0.0
nevade	Nevada	Nevada	1	True	True	2	True	True	6	3	3	0	6	3	3	1	False	True	True	2	0.0
nevade	Nevada	Nevadian	0	True	True	2	True	True	6	3	3	0	8	4	4	1	False	False	False	4	0.0
nevade	Nevada	Neva	0	True	True	2	True	True	6	3	3	0	4	2	2	1	False	False	False	3	0.0
nevade	Nevada	invade	0	True	True	2	True	True	6	3	3	0	6	3	3	0	False	False	False	2	0.0
nevade	Nevada	enervate	0	True	True	2	True	True	6	3	3	0	8	4	4	0	False	False	False	3	0.0
nevade	Nevada	innervate	0	True	True	2	True	True	6	3	3	0	9	5	4	0	False	False	False	4	0.0
presbyterian	Presbyterian	presbyterian	0	True	True	1	True	True	12	8	4	0	12	8	4	0	False	True	True	0	0.0
presbyterian	Presbyterian	Presbyterian	1	True	True	1	True	True	12	8	4	0	12	8	4	1	False	True	True	1	0.0
presbyterian	Presbyterian	presbytery	0	True	True	1	True	True	12	8	4	0	10	8	2	0	False	True	True	3	0.0
presbyterian	Presbyterian	presbyter	0	True	True	1	True	True	12	8	4	0	9	7	2	0	False	True	True	3	0.0
rsx	RSX	RSX	1	True	True	3	True	True	3	3	0	0	3	3	0	3	False	True	True	3	0.0
rsx	RSX	rs	0	True	True	3	True	True	3	3	0	0	2	2	0	0	False	True	False	1	0.0
rsx	RSX	rs x	0	True	True	3	True	True	3	3	0	0	4	3	0	0	True	True	True	1	0.0
Steffen	Stephen	Steffen	0	True	False	2	True	True	7	5	2	1	7	5	2	1	False	True	True	0	0.0
