non_word	real_word	jaro_winkler	levenshtein_distance	corpus	aspell_rank	aspell_n_candidates	edit_distance_rank	edit_distance_n_candidates
Ab	Albert	0.7777777777777777	4	birbeck	-1	45	-1	17
Ameraca	America	0.9095238095238095	1	birbeck	1	10	0	1
Amercia	America	0.9714285714285714	2	birbeck	0	8	0	1
Ameracan	American	0.9214285714285715	1	birbeck	2	9	0	1
Apirl	April	0.9466666666666665	2	birbeck	0	56	0	1
Austrain	Austrian	0.975	2	birbeck	0	13	0	1
badcock	Badcock's	0.8412698412698413	3	birbeck	-1	13	-1	7
bechuarnia_land	Bechuanaland	0.8833333333333333	4	birbeck	-1	12	-1	1
botuania	Botswana	0.75	4	birbeck	-1	27	-1	1
Cambrige	Cambridge	0.9777777777777777	1	birbeck	0	6	0	1
Canda	Canada	0.9144444444444445	1	birbeck	2	14	2	4
Chactuquoe	Chautauqua	0.7933333333333333	4	birbeck	0	25	-1	1
Chalktwa	Chautauqua	0.7958333333333334	6	birbeck	-1	16	-1	1
Chaqua	Chautauqua	0.8677777777777779	4	birbeck	-1	61	-1	1
Chata	Chautauqua	0.8833333333333334	5	birbeck	-1	27	-1	24
Chatacqua	Chautauqua	0.8690740740740741	2	birbeck	4	10	0	1
Chatacque	Chautauqua	0.8114814814814815	3	birbeck	10	15	-1	1
Chatalkwa	Chautauqua	0.8288888888888889	4	birbeck	10	28	-1	1
Chataqua	Chautauqua	0.895	2	birbeck	6	12	0	1
Chataque	Chautauqua	0.8341666666666666	3	birbeck	10	18	-1	1
Chataukowa	Chautauqua	0.8266666666666667	4	birbeck	7	9	-1	1
Chataukwa	Chautauqua	0.8448148148148149	3	birbeck	5	10	-1	1
Chatauwkwa	Chautauqua	0.8266666666666667	4	birbeck	1	6	-1	1
Chateau	Chautauqua	0.8344444444444444	5	birbeck	-1	14	-1	1
Chatocqua	Chautauqua	0.8114814814814815	3	birbeck	7	11	-1	1
Chatogua	Chautauqua	0.8094444444444445	4	birbeck	9	19	-1	1
Chatoukouv	Chautauqua	0.6777777777777777	5	birbeck	1	8	-1	1
Chattakqua	Chautauqua	0.8775000000000001	2	birbeck	0	4	0	1
Chatuaca	Chautauqua	0.8674999999999999	4	birbeck	2	19	-1	1
Chatwakwa	Chautauqua	0.8288888888888889	5	birbeck	2	14	-1	1
Chauetouequa	Chautauqua	0.9299999999999999	3	birbeck	0	20	-1	1
Chauta	Chautauqua	0.92	4	birbeck	-1	22	-1	1
Chautakye	Chautauqua	0.8533333333333333	4	birbeck	0	7	-1	1
Chautaqua	Chautauqua	0.9577777777777777	1	birbeck	0	13	0	1
Chautauchua	Chautauqua	0.9436363636363637	2	birbeck	0	24	0	1
Chautiqua	Chautauqua	0.9127777777777778	2	birbeck	0	16	0	1
Chautogqwa	Chautauqua	0.8514285714285714	3	birbeck	0	11	-1	1
Chautqua	Chautauqua	0.9349999999999999	2	birbeck	0	26	0	1
Chawtakque	Chautauqua	0.8266666666666667	3	birbeck	1	9	-1	1
Chawtawque	Chautauqua	0.8266666666666667	3	birbeck	5	18	-1	1
Cheautauqua	Chautauqua	0.9757575757575758	1	birbeck	0	29	0	1
Chetdacowa	Chautauqua	0.6	6	birbeck	18	29	-1	1
Chetoquoi	Chautauqua	0.6185185185185186	6	birbeck	26	36	-1	1
Chicahwa	Chautauqua	0.6333333333333333	6	birbeck	-1	17	-1	1
Chictocua	Chautauqua	0.6185185185185186	5	birbeck	13	18	-1	1
Chicugta	Chautauqua	0.7666666666666667	6	birbeck	-1	5	-1	1
Chistupa	Chautauqua	0.6416666666666667	5	birbeck	-1	30	-1	1
Chitacque	Chautauqua	0.6444444444444444	4	birbeck	34	43	-1	1
Chitalka	Chautauqua	0.6416666666666667	5	birbeck	-1	15	-1	1
Chitalkwa	Chautauqua	0.6185185185185186	5	birbeck	-1	21	-1	1
Chitaqua	Chautauqua	0.8104761904761905	3	birbeck	7	17	-1	1
Chitauqua	Chautauqua	0.8503703703703704	2	birbeck	2	20	0	1
Chitoqua	Chautauqua	0.6722222222222222	4	birbeck	16	21	-1	1
Chittiqua	Chautauqua	0.6444444444444444	4	birbeck	16	20	-1	1
Chochatta	Chautauqua	0.6851851851851851	6	birbeck	-1	20	-1	1
