non_word	real_word	jaro_winkler	levenshtein_distance	corpus	aspell_rank	aspell_n_candidates	edit_distance_rank	edit_distance_n_candidates
Adam	Adam's	0.9333333333333333	2	holbrook-missp	4	14	-1	1
Artair	After	0.7300000000000001	3	holbrook-missp	-1	19	-1	1
American	America	0.975	1	holbrook-missp	3	8	-1	1
Ane	And	0.7777777777777777	1	holbrook-missp	10	38	-1	6
Apprentiship	Apprenticeship	0.9714285714285714	2	holbrook-missp	0	8	-1	1
Apirl	April	0.9466666666666665	2	holbrook-missp	0	56	0	1
audre	Audrey	0.8222222222222223	2	holbrook-missp	6	22	-1	35
Autin	Austin	0.9555555555555556	1	holbrook-missp	2	44	0	1
Babys	Babies	0.8755555555555556	2	holbrook-missp	12	65	-1	31
Bankg	Bang	0.9533333333333333	1	holbrook-missp	3	19	-1	1
Beryil	Beryl	0.9666666666666667	1	holbrook-missp	0	21	0	1
Bicyle	Bicycle	0.9714285714285714	1	holbrook-missp	0	22	-1	9
Bos	Boss	0.9166666666666666	1	holbrook-missp	4	45	-1	9
Boy	Boys	0.9166666666666666	1	holbrook-missp	5	27	-1	7
Barham	Brabham	0.9071428571428571	2	holbrook-missp	-1	23	-1	4
barham	Brabham	0.7825396825396825	3	holbrook-missp	-1	24	-1	7
butlins	Butlins	0.9047619047619048	1	holbrook-missp	-1	55	-1	11
castels	Castle's	0.8134920634920636	3	holbrook-missp	-1	29	-1	5
Chartors	Characters	0.915	3	holbrook-missp	-1	32	-1	3
Cheere_ho	Cheerio	0.9047619047619048	3	holbrook-missp	1	11	-1	1
Cheter	Cheetah	0.8477777777777777	3	holbrook-missp	20	28	-1	2
Comatalevous	Comment allez-vous	0.8686026936026936	7	holbrook-missp	-1	78	-1	1
Comentary	Commentary	0.9766666666666667	1	holbrook-missp	0	4	-1	1
Copper	Cooper	0.9111111111111112	1	holbrook-missp	12	22	0	6
Cynthia	Cynthia's	0.9555555555555556	2	holbrook-missp	1	4	-1	1
Dearth	Death	0.9611111111111111	1	holbrook-missp	2	7	-1	4
Docter	Doctor	0.9333333333333333	1	holbrook-missp	1	31	0	1
Dog	Dog's	0.8666666666666667	2	holbrook-missp	6	35	-1	14
Durxer	Durex	0.9144444444444445	2	holbrook-missp	1	95	-1	1
And	End	0.7777777777777777	1	holbrook-missp	6	23	-1	6
Edh	End	0.5555555555555555	2	holbrook-missp	-1	7	-1	1
Hed	End	0.5555555555555555	2	holbrook-missp	-1	41	-1	12
Evey	Every	0.9533333333333333	1	holbrook-missp	0	6	-1	1
Facttoer	Factory	0.9214285714285715	3	holbrook-missp	3	18	-1	1
Frameman	Farmer	0.7775000000000001	5	holbrook-missp	-1	13	-1	2
Farther	Father	0.9619047619047619	1	holbrook-missp	3	6	0	2
Farrari	Ferrari	0.9142857142857143	1	holbrook-missp	0	11	0	1
Fiyer	Fire	0.8266666666666667	2	holbrook-missp	20	38	-1	69
Fance	France	0.9500000000000001	1	holbrook-missp	1	15	0	3
Frgmens	Frogmen's	0.9407407407407408	2	holbrook-missp	-1	9	-1	1
Gardon	Garden	0.9333333333333333	1	holbrook-missp	2	38	-1	2
