non_word	real_word	jaro_winkler	levenshtein_distance	corpus	aspell_rank	edit_distance_rank
localy	locally	0.9714285714285714	1	norvig	0	0
usefull	useful	0.9714285714285714	1	norvig	1	1
concider	consider	0.9416666666666667	1	norvig	3	1
triangulaur	triangular	0.9818181818181818	1	norvig	0	0
hierchy	hierarchy	0.9555555555555556	2	norvig	0	0
occurence	occurrence	0.98	1	norvig	0	0
occurence	occurrence	0.98	1	norvig	0	0
aranging	arrangeing	0.9466666666666665	2	norvig	-1	-1
valubale	valuable	0.975	2	norvig	0	0
valuble	valuable	0.975	1	norvig	0	0
sorces	sources	0.9619047619047619	1	norvig	0	0
unexpcted	unexpected	0.9577777777777777	1	norvig	0	0
unexpeted	unexpected	0.98	1	norvig	0	0
unexspected	unexpected	0.9818181818181818	1	norvig	0	0
comittee	committee	0.9740740740740741	1	norvig	0	0
liew	lieu	0.8833333333333334	1	norvig	1	5
scisors	scissors	0.9464285714285714	1	norvig	1	0
sissors	scissors	0.9625	1	norvig	0	0
transportibility	transportability	0.9483333333333334	1	norvig	-1	-1
miniscule	minuscule	0.9189814814814814	1	norvig	0	0
diagrammaticaally	diagrammatically	0.9882352941176471	1	norvig	0	0
poame	poem	0.8266666666666667	2	norvig	3	7
managment	management	0.9577777777777777	1	norvig	0	0
singulaur	singular	0.9777777777777777	1	norvig	0	0
extreamly	extremely	0.9555555555555556	2	norvig	0	0
intial	initial	0.9174603174603175	1	norvig	1	0
cemetary	cemetery	0.95	1	norvig	0	0
semetary	cemetery	0.8333333333333334	2	norvig	4	4
supercede	supersede	0.9555555555555556	1	norvig	2	0
superceed	supersede	0.9305555555555555	3	norvig	0	1
reafreshment	refreshment	0.9777777777777777	1	norvig	0	0
refreshmant	refreshment	0.9636363636363636	1	norvig	0	0
refresment	refreshment	0.9818181818181818	1	norvig	0	0
refressmunt	refreshment	0.9272727272727274	2	norvig	0	0
galery	gallery	0.9666666666666667	1	norvig	0	0
gallary	gallery	0.9428571428571428	1	norvig	0	0
gallerry	gallery	0.975	1	norvig	0	0
gallrey	gallery	0.9714285714285714	2	norvig	0	1
pronounciation	pronunciation	0.9857142857142858	1	norvig	0	0
inconvienient	inconvenient	0.967948717948718	1	norvig	0	0
inconvient	inconvenient	0.9466666666666667	2	norvig	0	0
inconvinient	inconvenient	0.9484848484848484	1	norvig	0	0
totaly	totally	0.9714285714285714	1	norvig	0	0
centraly	centrally	0.9777777777777777	1	norvig	0	0
ment	meant	0.9466666666666665	1	norvig	0	0
cartains	curtains	0.8821428571428571	1	norvig	9	1
certans	curtains	0.8821428571428571	2	norvig	5	2
courtens	curtains	0.8500000000000001	3	norvig	31	-1
cuaritains	curtains	0.88	2	norvig	0	0
curtans	curtains	0.975	1	norvig	2	0
curtians	curtains	0.975	2	norvig	0	0
curtions	curtains	0.95	2	norvig	3	1
somone	someone	0.9277777777777778	1	norvig	0	0
familes	families	0.975	1	norvig	0	0
ther	there	0.96	1	norvig	0	1
febuary	february	0.9375	1	norvig	-1	-1
extented	extended	0.9214285714285715	1	norvig	8	0
choise	choice	0.9333333333333333	1	norvig	1	1
ofen	often	0.9466666666666665	1	norvig	2	0
offen	often	0.8933333333333333	1	norvig	9	3
offten	often	0.9555555555555556	1	norvig	2	0
ofton	often	0.9066666666666667	1	norvig	4	0
undersand	understand	0.98	1	norvig	2	0
undistand	understand	0.9274074074074075	2	norvig	0	0
basicaly	basically	0.9777777777777777	1	norvig	0	0
descide	decide	0.9619047619047619	1	norvig	0	0
particulaur	particular	0.9818181818181818	1	norvig	0	0
awfall	awful	0.8755555555555556	2	norvig	3	1
afful	awful	0.88	1	norvig	1	1
neccesary	necessary	0.9481481481481482	2	norvig	0	0
necesary	necessary	0.9777777777777777	1	norvig	0	0
neccesary	necessary	0.9481481481481482	2	norvig	0	0
necassary	necessary	0.9189814814814814	1	norvig	0	0
necassery	necessary	0.9740740740740741	2	norvig	0	0
neccasary	necessary	0.8629629629629629	2	norvig	0	0
uneque	unique	0.9111111111111112	1	norvig	0	0
conciderable	considerable	0.961111111111111	1	norvig	0	0
rember	remember	0.9027777777777778	2	norvig	3	-1
remeber	remember	0.975	1	norvig	0	0
rememmer	remember	0.95	1	norvig	0	0
rermember	remember	0.9703703703703703	1	norvig	0	0
articals	articles	0.95	2	norvig	0	0
acount	account	0.9619047619047619	1	norvig	0	0
aranged	arranged	0.9666666666666667	1	norvig	0	0
arrainged	arranged	0.9777777777777777	1	norvig	1	1
unfortunatly	unfortunately	0.9846153846153847	1	norvig	0	0
varable	variable	0.9708333333333333	1	norvig	2	0
guic	juice	0.7833333333333333	2	norvig	6	7
juce	juice	0.9466666666666665	1	norvig	0	0
jucie	juice	0.9466666666666665	2	norvig	0	0
juise	juice	0.9066666666666667	1	norvig	1	0
juse	juice	0.8266666666666667	2	norvig	-1	-1
wether	whether	0.9071428571428571	1	norvig	5	3
leval	level	0.9066666666666667	1	norvig	0	0
transfred	transferred	0.9414141414141414	2	norvig	2	2
astablishing	establishing	0.914141414141414	1	norvig	0	0
establising	establishing	0.9833333333333333	1	norvig	0	0
recieve	receive	0.9666666666666667	2	norvig	0	0
benifit	benefit	0.8944444444444445	1	norvig	0	0
addresable	addressable	0.9818181818181818	1	norvig	0	0
remine	remind	0.9333333333333333	1	norvig	5	1
remined	remind	0.9714285714285714	1	norvig	0	0
cak	cake	0.9166666666666666	1	norvig	0	0
fisited	visited	0.9047619047619048	1	norvig	1	0
viseted	visited	0.8944444444444445	1	norvig	4	0
vistid	visited	0.9277777777777778	2	norvig	0	-1
vistied	visited	0.9666666666666667	2	norvig	0	0
problam	problem	0.9428571428571428	1	norvig	2	0
proble	problem	0.9714285714285714	1	norvig	0	0
promblem	problem	0.9041666666666667	1	norvig	0	0
proplen	problem	0.8666666666666668	2	norvig	-1	9
biscits	biscuits	0.975	1	norvig	0	0
biscutes	biscuits	0.95	2	norvig	0	0
biscuts	biscuits	0.975	1	norvig	0	0
bisquits	biscuits	0.9416666666666667	1	norvig	2	0
buiscits	biscuits	0.9249999999999999	2	norvig	0	0
buiscuts	biscuits	0.8392857142857144	2	norvig	4	0
rote	wrote	0.9333333333333332	1	norvig	3	-1
wote	wrote	0.94	1	norvig	0	0
compair	compare	0.9428571428571428	2	norvig	4	0
pertend	pretend	0.9571428571428572	2	norvig	4	0
protend	pretend	0.8793650793650793	1	norvig	5	1
prtend	pretend	0.9174603174603175	1	norvig	3	1
pritend	pretend	0.8793650793650793	1	norvig	5	0
bicycal	bicycle	0.9428571428571428	2	norvig	0	0
bycicle	bicycle	0.9571428571428572	2	norvig	0	0
bycycle	bicycle	0.8642857142857143	1	norvig	2	0
lagh	laugh	0.9466666666666665	1	norvig	0	0
lauf	laugh	0.8483333333333334	2	norvig	4	-1
laught	laugh	0.9666666666666667	1	norvig	0	0
lugh	laugh	0.94	1	norvig	1	1
cirtain	certain	0.9142857142857143	1	norvig	0	0
receit	receipt	0.9714285714285714	1	norvig	0	0
receite	receipt	0.9428571428571428	2	norvig	1	-1
reciet	receipt	0.9277777777777778	2	norvig	5	-1
recipt	receipt	0.9666666666666667	1	norvig	0	0
magnificnet	magnificent	0.9818181818181818	2	norvig	0	0
magificent	magnificent	0.9787878787878788	1	norvig	0	0
magnifcent	magnificent	0.9818181818181818	1	norvig	0	0
magnifecent	magnificent	0.9436363636363637	1	norvig	0	0
magnifiscant	magnificent	0.9484848484848484	2	norvig	0	0
magnifisent	magnificent	0.9636363636363636	1	norvig	0	0
magnificant	magnificent	0.9636363636363636	1	norvig	0	0
litriture	literature	0.9274074074074075	2	norvig	0	0
hierachial	hierarchal	0.96	2	norvig	-1	-1
chalenges	challenges	0.98	1	norvig	0	0
chalenges	challenges	0.98	1	norvig	0	0
exstacy	ecstasy	0.8285714285714287	2	norvig	1	0
ecstacy	ecstasy	0.9428571428571428	1	norvig	0	0
descided	decided	0.9666666666666667	1	norvig	0	0
stomac	stomach	0.9714285714285714	1	norvig	0	0
stomache	stomach	0.975	1	norvig	2	2
stomec	stomach	0.9095238095238095	2	norvig	0	1
stumache	stomach	0.8952380952380953	2	norvig	2	2
chosing	choosing	0.9708333333333333	1	norvig	0	0
futher	further	0.9619047619047619	1	norvig	2	0
questionaire	questionnaire	0.9846153846153847	1	norvig	0	0
speaical	special	0.9375	2	norvig	0	0
specail	special	0.9714285714285714	2	norvig	2	0
specal	special	0.9714285714285714	1	norvig	0	0
speical	special	0.9666666666666667	2	norvig	0	0
realy	really	0.9666666666666667	1	norvig	0	0
relley	really	0.9111111111111112	2	norvig	1	1
relly	really	0.9555555555555556	1	norvig	0	0
diffrent	different	0.9527777777777777	1	norvig	2	0
clearical	clerical	0.9157407407407407	1	norvig	1	0
monitering	monitoring	0.96	1	norvig	0	0
biult	built	0.94	2	norvig	2	0
possition	position	0.9740740740740741	1	norvig	0	0
perhapse	perhaps	0.975	1	norvig	0	0
personnell	personnel	0.98	1	norvig	0	0
seperate	separate	0.9083333333333333	1	norvig	1	0
poartry	poetry	0.826031746031746	2	norvig	14	5
poertry	poetry	0.9277777777777778	1	norvig	0	0
poetre	poetry	0.9333333333333333	1	norvig	2	0
poety	poetry	0.9666666666666667	1	norvig	0	0
powetry	poetry	0.9619047619047619	1	norvig	0	0
arragment	arrangement	0.9414141414141414	2	norvig	1	0
acess	access	0.9555555555555556	1	norvig	1	1
vairious	various	0.9285714285714286	1	norvig	1	0
beetween	between	0.9285714285714286	1	norvig	4	0
stanerdizing	standardizing	0.9343822843822843	2	norvig	0	0
avaible	available	0.9269841269841269	2	norvig	1	2
independant	independent	0.9636363636363636	1	norvig	0	0
independant	independent	0.9636363636363636	1	norvig	0	0
accesing	accessing	0.9777777777777777	1	norvig	0	0
lones	loans	0.8933333333333333	2	norvig	13	-1
discription	description	0.8554545454545455	1	norvig	2	0
opisite	opposite	0.8507936507936509	2	norvig	3	2
oppasite	opposite	0.9416666666666667	1	norvig	1	0
oppesite	opposite	0.9416666666666667	1	norvig	0	0
oppisit	opposite	0.8694444444444446	2	norvig	0	0
oppisite	opposite	0.9083333333333333	1	norvig	0	0
opposit	opposite	0.975	1	norvig	0	0
oppossite	opposite	0.9777777777777777	1	norvig	0	0
oppossitte	opposite	0.96	2	norvig	0	0
vairiant	variant	0.9285714285714286	1	norvig	0	0
poims	poems	0.8933333333333333	1	norvig	7	1
pomes	poems	0.9466666666666665	2	norvig	3	1
southen	southern	0.975	1	norvig	2	0
failes	fails	0.9666666666666667	1	norvig	2	0
possable	possible	0.95	1	norvig	2	0
dirven	driven	0.9500000000000001	2	norvig	0	0
vistors	visitors	0.9708333333333333	1	norvig	0	0
completly	completely	0.98	1	norvig	0	0
levals	levels	0.9222222222222223	1	norvig	0	0
experances	experiences	0.9214141414141415	2	norvig	0	0
adress	address	0.9619047619047619	1	norvig	0	0
adres	address	0.9238095238095239	2	norvig	7	-1
desicate	desiccate	0.9777777777777777	1	norvig	0	0
dessicate	desiccate	0.9481481481481482	2	norvig	0	0
dessiccate	desiccate	0.9766666666666667	1	norvig	0	0
embaras	embarrass	0.9555555555555556	2	norvig	0	-1
embarass	embarrass	0.9777777777777777	1	norvig	0	0
wantid	wanted	0.9333333333333333	1	norvig	2	0
wonted	wanted	0.9	1	norvig	6	-1
begining	beginning	0.9527777777777777	1	norvig	0	0
accomodation	accommodation	0.9846153846153847	1	norvig	0	0
acommodation	accommodation	0.9794871794871796	1	norvig	0	0
acomodation	accommodation	0.958974358974359	2	norvig	0	0
volantry	voluntary	0.9449074074074074	2	norvig	0	0
chaper	chapter	0.9714285714285714	1	norvig	2	0
chaphter	chapter	0.975	1	norvig	0	0
chaptur	chapter	0.9428571428571428	1	norvig	0	0
defenition	definition	0.9014814814814816	1	norvig	1	0
scarcly	scarcely	0.975	1	norvig	0	0
scarecly	scarcely	0.975	2	norvig	0	0
scarely	scarcely	0.975	1	norvig	0	0
scarsely	scarcely	0.95	1	norvig	0	0
voteing	voting	0.9666666666666667	1	norvig	0	0
benifits	benefits	0.9083333333333333	1	norvig	1	0
