non_word	real_word	jaro_winkler	levenshtein_distance	corpus	aspell_rank	aspell_n_candidates	edit_distance_rank	edit_distance_n_candidates
Apenines	Apennines	0.9527777777777777	1	wikipedia	2	6	0	1
Appenines	Apennines	0.9074074074074073	2	wikipedia	0	8	0	1
Athenean	Athenian	0.95	1	wikipedia	2	9	0	1
Atheneans	Athenians	0.9555555555555556	1	wikipedia	2	9	0	1
Bernouilli	Bernoulli	0.9577777777777777	1	wikipedia	0	27	0	1
Blitzkreig	Blitzkrieg	0.98	2	wikipedia	0	3	-1	1
Brasillian	Brazilian	0.9274074074074075	2	wikipedia	1	6	1	2
Britian	Britain	0.9714285714285714	2	wikipedia	0	26	0	1
Brittish	British	0.975	1	wikipedia	0	8	0	1
Ceasar	Caesar	0.9500000000000001	2	wikipedia	0	16	0	2
Cambrige	Cambridge	0.9777777777777777	1	wikipedia	0	6	0	1
carcas	Caracas	0.7825396825396825	2	wikipedia	13	21	-1	1
Carribean	Caribbean	0.9481481481481482	2	wikipedia	0	17	0	1
Carthagian	Carthaginian	0.9466666666666667	2	wikipedia	0	5	0	1
Cataline	Catalina	0.95	1	wikipedia	0	12	0	2
Cataline	Catiline	0.9083333333333333	1	wikipedia	4	12	1	2
Celcius	Celsius	0.9333333333333333	1	wikipedia	0	38	0	1
Champange	Champagne	0.9777777777777777	2	wikipedia	0	9	-1	1
Conneticut	Connecticut	0.9618181818181818	1	wikipedia	0	5	0	1
Cyprian	Cypriot	0.8857142857142858	2	wikipedia	-1	4	-1	1
eles	Ellis	0.6333333333333333	3	wikipedia	-1	36	-1	16
Enlish	English	0.9619047619047619	1	wikipedia	0	16	0	1
Europian	European	0.95	1	wikipedia	0	9	0	1
Eurpean	European	0.9708333333333333	1	wikipedia	0	45	0	1
Eurpoean	European	0.9708333333333333	2	wikipedia	0	49	0	1
Europians	Europeans	0.9555555555555556	1	wikipedia	0	10	0	1
febuary	February	0.8134920634920636	2	wikipedia	3	32	-1	1
Flemmish	Flemish	0.975	1	wikipedia	0	6	0	1
Fransiscan	Franciscan	0.9377777777777778	1	wikipedia	1	7	0	1
Fransiscans	Franciscans	0.9236363636363636	1	wikipedia	0	5	0	1
gae	Gael	0.7222222222222222	2	wikipedia	19	32	-1	17
Galations	Galatians	0.9555555555555556	1	wikipedia	0	47	0	1
Ghandi	Gandhi	0.9	2	wikipedia	0	66	0	6
gogin	Gauguin	0.6761904761904761	4	wikipedia	27	29	-1	32
Guatamala	Guatemala	0.9055555555555556	1	wikipedia	0	5	0	1
Guatamalan	Guatemalan	0.9155555555555556	1	wikipedia	0	5	0	1
Guiness	Guinness	0.975	1	wikipedia	0	14	0	1
Israelies	Israelis	0.9777777777777777	1	wikipedia	2	9	0	1
Ihaca	Ithaca	0.9500000000000001	1	wikipedia	0	28	0	1
Jaques	Jacques	0.9619047619047619	1	wikipedia	0	77	0	1
Japanes	Japanese	0.975	1	wikipedia	2	5	0	1
Jospeh	Joseph	0.9611111111111111	2	wikipedia	0	11	0	1
Juadaism	Judaism	0.9285714285714286	1	wikipedia	0	9	0	1
Juadism	Judaism	0.9619047619047619	2	wikipedia	0	22	0	1
Lybia	Libya	0.76	2	wikipedia	9	27	-1	1
Malcom	Malcolm	0.9714285714285714	1	wikipedia	0	15	0	1
maltesian	Maltese	0.7566137566137566	4	wikipedia	-1	6	-1	1
liason	Mara Liasson	0.47222222222222215	7	wikipedia	-1	15	-1	1
Massachussets	Massachusetts	0.9525641025641025	2	wikipedia	0	3	0	1
Massachussetts	Massachusetts	0.9703296703296703	1	wikipedia	0	3	0	1
Mediteranean	Mediterranean	0.9846153846153847	1	wikipedia	0	3	0	1
Michagan	Michigan	0.9214285714285715	1	wikipedia	0	11	0	1
meranda	Miranda	0.8095238095238096	2	wikipedia	11	43	-1	1
Missisipi	Mississippi	0.9636363636363636	2	wikipedia	0	11	0	1
Missisippi	Mississippi	0.9818181818181818	1	wikipedia	0	3	0	1
Misouri	Missouri	0.9708333333333333	1	wikipedia	0	19	0	1
Mohammedan	Muslim	0.5111111111111111	8	wikipedia	-1	4	-1	1
Muhammadan	Muslim	0.6	7	wikipedia	-1	8	-1	1
Mohammedans	Muslims	0.5670995670995671	8	wikipedia	-1	6	-1	1
Nazereth	Nazareth	0.9083333333333333	1	wikipedia	0	4	0	1
Newyorker	New Yorker	0.9274074074074075	2	wikipedia	-1	9	-1	1
Foundland	Newfoundland	0.8518518518518517	4	wikipedia	7	12	-1	1
Nuremburg	Nuremberg	0.9555555555555556	1	wikipedia	0	21	0	1
orginal	Orignal	0.8492063492063492	3	wikipedia	-1	6	-1	2
Palistian	Palestinian	0.8797979797979798	3	wikipedia	-1	10	-1	2
Palistinian	Palestinian	0.9109090909090909	1	wikipedia	0	12	0	1
Phillipine	Philippine	0.96	2	wikipedia	0	12	0	1
Philipines	Philippines	0.9818181818181818	1	wikipedia	0	8	0	1
Phillipines	Philippines	0.9636363636363636	2	wikipedia	0	9	0	1
Phillippines	Philippines	0.9833333333333333	1	wikipedia	2	7	0	1
Portugese	Portuguese	0.98	1	wikipedia	0	5	0	1
Pucini	Puccini	0.9666666666666667	1	wikipedia	0	14	0	1
Rockerfeller	Rockefeller	0.946969696969697	1	wikipedia	2	9	0	1
Russion	Russian	0.9428571428571428	1	wikipedia	2	30	0	1
russina	Russian	0.8492063492063492	3	wikipedia	5	50	-1	8
Saterday	Saturday	0.9416666666666667	1	wikipedia	0	17	0	1
Saterdays	Saturdays	0.9481481481481482	1	wikipedia	0	16	0	1
Sixtin	Sistine	0.8793650793650793	2	wikipedia	5	8	0	3
spainish	Spanish	0.8134920634920636	2	wikipedia	12	18	-1	1
tiem	Tim	0.7222222222222222	2	wikipedia	12	13	-1	8
Ukranian	Ukrainian	0.9527777777777777	1	wikipedia	0	6	0	1
Valetta	Valletta	0.9708333333333333	1	wikipedia	2	27	0	1
wendsay	Wednesday	0.7857142857142857	4	wikipedia	-1	30	-1	1
wensday	Wednesday	0.7857142857142857	3	wikipedia	10	23	-1	1
Sionist	Zionist	0.9047619047619048	1	wikipedia	0	22	-1	4
Sionists	Zionists	0.9166666666666666	1	wikipedia	0	6	-1	4
alot	a lot	0.94	1	wikipedia	-1	11	-1	10
abondon	abandon	0.9238095238095239	1	wikipedia	0	11	0	1
abondoned	abandoned	0.9074074074074073	1	wikipedia	1	7	0	1
abondoning	abandoning	0.9170370370370371	1	wikipedia	0	8	0	1
