error	correct_word	dsug	target	correct_word_in_dict	correct_word_in_dsuggestions	corwd_dist	corwd_se	corwd_me	error_char_count	error_consonant_count	error_vowel_count	error_capital_count	dsug_char_count	dsug_consonant_count	dsug_vowel_count	dsug_capital_count	dsug_contains_space	dsug_se	dsug_me	dsug_dist	dsug_lm_log_prob
Apenines	Apennines	Apennines	1	True	True	1	True	True	8	4	3	1	9	5	3	1	False	True	True	1	0.0
Apenines	Apennines	Adenines	0	True	True	1	True	True	8	4	3	1	8	4	3	1	False	False	False	1	0.0
Apenines	Apennines	Ape nines	0	True	True	1	True	True	8	4	3	1	9	4	3	1	True	True	True	1	0.0
Apenines	Apennines	Ape-nines	0	True	True	1	True	True	8	4	3	1	9	4	3	1	False	True	True	1	0.0
Apenines	Apennines	Paperiness	0	True	True	1	True	True	8	4	3	1	10	6	4	1	False	False	False	4	0.0
Apenines	Apennines	Tapelines	0	True	True	1	True	True	8	4	3	1	9	5	4	1	False	False	False	3	0.0
Apenines	Apennines	Grapevines	0	True	True	1	True	True	8	4	3	1	10	6	4	1	False	False	False	4	0.0
Apenines	Apennines	Sappiness	0	True	True	1	True	True	8	4	3	1	9	6	3	1	False	False	False	5	0.0
Apenines	Apennines	Puniness	0	True	True	1	True	True	8	4	3	1	8	5	3	1	False	False	False	4	0.0
Apenines	Apennines	Openness	0	True	True	1	True	True	8	4	3	1	8	5	2	1	False	False	False	3	0.0
Appenines	Apennines	Apennines	1	True	True	2	True	True	9	5	3	1	9	5	3	1	False	True	True	2	0.0
Appenines	Apennines	Appendices	0	True	True	2	True	True	9	5	3	1	10	6	3	1	False	False	False	2	0.0
Appenines	Apennines	Appendixes	0	True	True	2	True	True	9	5	3	1	10	6	3	1	False	False	False	2	0.0
Appenines	Apennines	Sappinesses	0	True	True	2	True	True	9	5	3	1	11	7	4	1	False	False	False	6	0.0
Appenines	Apennines	Appurtenance	0	True	True	2	True	True	9	5	3	1	12	7	4	1	False	False	False	6	0.0
Appenines	Apennines	Appendix	0	True	True	2	True	True	9	5	3	1	8	5	2	1	False	False	False	4	0.0
Athenean	Athenian	Athenian	1	True	True	1	True	True	8	4	3	1	8	4	3	1	False	True	True	1	0.0
Athenean	Athenian	Athene an	0	True	True	1	True	True	8	4	3	1	9	4	3	1	True	True	True	1	0.0
Athenean	Athenian	Athene-an	0	True	True	1	True	True	8	4	3	1	9	4	3	1	False	True	True	1	0.0
Athenean	Athenian	Athene	0	True	True	1	True	True	8	4	3	1	6	3	2	1	False	True	False	2	0.0
Athenean	Athenian	Heathen	0	True	True	1	True	True	8	4	3	1	7	4	3	1	False	False	False	6	0.0
Athenean	Athenian	Athena	0	True	True	1	True	True	8	4	3	1	6	3	2	1	False	True	False	2	0.0
Athenean	Athenian	Heathman	0	True	True	1	True	True	8	4	3	1	8	5	3	1	False	False	False	6	0.0
Athenean	Athenian	Athens	0	True	True	1	True	True	8	4	3	1	6	4	1	1	False	False	False	3	0.0
Athenean	Athenian	Authentic	0	True	True	1	True	True	8	4	3	1	9	5	3	1	False	False	False	4	0.0
Atheneans	Athenians	Athenians	1	True	True	1	True	True	9	5	3	1	9	5	3	1	False	True	True	1	0.0
Atheneans	Athenians	Athene ans	0	True	True	1	True	True	9	5	3	1	10	5	3	1	True	True	True	1	0.0
Atheneans	Athenians	Athene-ans	0	True	True	1	True	True	9	5	3	1	10	5	3	1	False	True	True	1	0.0
Atheneans	Athenians	Athenian	0	True	True	1	True	True	9	5	3	1	8	4	3	1	False	False	True	2	0.0
Atheneans	Athenians	Athens	0	True	True	1	True	True	9	5	3	1	6	4	1	1	False	True	False	3	0.0
Atheneans	Athenians	Athene	0	True	True	1	True	True	9	5	3	1	6	3	2	1	False	False	False	3	0.0
Atheneans	Athenians	Heathenish	0	True	True	1	True	True	9	5	3	1	10	6	4	1	False	False	False	7	0.0
Atheneans	Athenians	Otherness	0	True	True	1	True	True	9	5	3	1	9	6	2	1	False	False	False	4	0.0
Atheneans	Athenians	Earthiness	0	True	True	1	True	True	9	5	3	1	10	6	3	1	False	False	False	6	0.0
Bernouilli	Bernoulli	Bernoulli	1	True	True	1	True	True	10	5	5	1	9	5	4	1	False	True	True	1	0.0
Bernouilli	Bernoulli	Bertillon	0	True	True	1	True	True	10	5	5	1	9	6	3	1	False	False	False	5	0.0
Bernouilli	Bernoulli	Brillouin	0	True	True	1	True	True	10	5	5	1	9	5	4	1	False	False	False	7	0.0
Bernouilli	Bernoulli	Bouillon	0	True	True	1	True	True	10	5	5	1	8	4	4	1	False	False	False	5	0.0
Bernouilli	Bernoulli	Illiberal	0	True	True	1	True	True	10	5	5	1	9	5	3	1	False	False	False	9	0.0
Bernouilli	Bernoulli	Bernelle	0	True	True	1	True	True	10	5	5	1	8	5	3	1	False	True	True	4	0.0
Bernouilli	Bernoulli	Biennial	0	True	True	1	True	True	10	5	5	1	8	4	4	1	False	False	False	6	0.0
Blitzkreig	Blitzkrieg	Blitzkrieg	1	True	True	2	True	True	10	7	3	1	10	7	3	1	False	True	True	2	0.0
Blitzkreig	Blitzkrieg	Blighter	0	True	True	2	True	True	10	7	3	1	8	6	2	1	False	False	False	6	0.0
Blitzkreig	Blitzkrieg	Bloodsucking	0	True	True	2	True	True	10	7	3	1	12	8	4	1	False	True	True	8	0.0
Blitzkreig	Blitzkrieg	Bloodsucker	0	True	True	2	True	True	10	7	3	1	11	7	4	1	False	True	True	9	0.0
Brasillian	Brazilian	Brasilia	0	True	True	2	True	True	10	6	4	1	8	4	4	1	False	True	True	2	0.0
Brasillian	Brazilian	Brilliant	0	True	True	2	True	True	10	6	4	1	9	6	3	1	False	False	False	3	0.0
Brasillian	Brazilian	Brazilian	1	True	True	2	True	True	10	6	4	1	9	5	4	1	False	True	True	2	0.0
Brasillian	Brazilian	Brilliance	0	True	True	2	True	True	10	6	4	1	10	6	4	1	False	False	False	4	0.0
Brasillian	Brazilian	Brassily	0	True	True	2	True	True	10	6	4	1	8	6	2	1	False	True	True	5	0.0
Brasillian	Brazilian	Brilliancy	0	True	True	2	True	True	10	6	4	1	10	7	3	1	False	False	False	4	0.0
